Workload,Timestamp,CPU,Mem,Set
sort_run,1590500476,109.00,3.39,set5
sort_run,1590500477,150.00,3.39,set5
sort_run,1590500478,100.00,3.39,set5
sort_run,1590500479,100.00,3.39,set5
sort_run,1590500480,102.00,3.39,set5
sort_run,1590500481,103.00,3.39,set5
sort_run,1590500482,122.00,3.39,set5
sort_run,1590500483,100.00,3.39,set5
sort_run,1590500484,102.00,3.39,set5
sort_run,1590500485,102.00,3.39,set5
sort_run,1590500486,133.00,3.39,set5
sort_run,1590500487,115.00,3.39,set5
sort_run,1590500488,100.00,3.39,set5
sort_run,1590500489,100.00,3.39,set5
sort_run,1590500490,100.00,3.39,set5
sort_run,1590500491,107.00,3.39,set5
sort_run,1590500492,145.00,3.39,set5
sort_run,1590500493,101.00,3.39,set5
sort_run,1590500494,101.00,3.39,set5
sort_run,1590500495,99.00,3.39,set5
sort_run,1590500496,129.00,3.39,set5
sort_run,1590500497,115.00,3.39,set5
sort_run,1590500498,101.00,3.39,set5
sort_run,1590500499,101.00,3.39,set5
sort_run,1590500500,100.00,3.62,set5
sort_run,1590500501,163.00,3.65,set5
sort_run,1590500502,100.00,3.72,set5
sort_run,1590500503,101.00,3.72,set5
sort_run,1590500504,101.00,3.72,set5
sort_run,1590500505,111.00,3.98,set5
sort_run,1590500506,126.00,4.00,set5
sort_run,1590500507,100.00,4.07,set5
sort_run,1590500508,101.00,4.07,set5
sort_run,1590500509,101.00,4.07,set5
sort_run,1590500510,111.00,4.33,set5
sort_run,1590500511,138.00,4.35,set5
sort_run,1590500512,100.00,4.42,set5
sort_run,1590500513,101.00,4.42,set5
sort_run,1590500514,100.00,4.42,set5
sort_run,1590500515,65.00,4.60,set5
sort_run,1590500516,123.00,4.70,set5
sort_run,1590500517,100.00,4.71,set5
sort_run,1590500518,100.00,4.77,set5
sort_run,1590500519,101.00,4.77,set5
sort_run,1590500520,119.00,4.77,set5
sort_run,1590500521,115.00,4.77,set5
sort_run,1590500522,101.00,4.77,set5
sort_run,1590500523,100.00,4.77,set5
sort_run,1590500524,101.00,4.77,set5
sort_run,1590500525,103.00,4.77,set5
sort_run,1590500526,150.00,4.77,set5
sort_run,1590500527,101.00,4.77,set5
sort_run,1590500528,100.00,4.77,set5
sort_run,1590500529,101.00,4.77,set5
sort_run,1590500530,130.00,4.77,set5
sort_run,1590500531,137.00,4.77,set5
sort_run,1590500532,101.00,4.77,set5
sort_run,1590500533,100.00,4.77,set5
sort_run,1590500534,103.00,4.77,set5
sort_run,1590500535,131.00,4.77,set5
sort_run,1590500536,106.00,4.77,set5
sort_run,1590500537,102.00,4.77,set5
sort_run,1590500538,119.00,4.77,set5
sort_run,1590500539,119.00,4.77,set5
sort_run,1590500540,101.00,4.77,set5
sort_run,1590500541,108.00,4.78,set5
sort_run,1590500542,101.00,4.92,set5
sort_run,1590500543,970.00,8.19,set5
sort_run,1590500544,129.00,8.46,set5
sort_run,1590500545,100.00,8.43,set5
sort_run,1590500546,100.00,8.40,set5
sort_run,1590500547,122.00,9.16,set5
sort_run,1590500548,815.00,11.99,set5
sort_run,1590500549,1431.00,16.95,set5
sort_run,1590500550,150.00,16.74,set5
sort_run,1590500551,101.00,16.74,set5
sort_run,1590500552,100.00,16.74,set5
sort_run,1590500553,100.00,16.74,set5
sort_run,1590500554,101.00,16.74,set5
sort_run,1590500555,100.00,16.74,set5
sort_run,1590500556,100.00,16.74,set5
sort_run,1590500557,100.00,16.74,set5
sort_run,1590500558,100.00,16.74,set5
sort_run,1590500559,101.00,16.74,set5
sort_run,1590500560,101.00,16.74,set5
sort_run,1590500561,100.00,16.74,set5
sort_run,1590500562,100.00,16.74,set5
sort_run,1590500563,100.00,16.74,set5
sort_run,1590500564,101.00,16.74,set5
sort_run,1590500565,108.00,16.74,set5
sort_run,1590500566,100.00,16.74,set5
sort_run,1590500567,99.00,16.74,set5
sort_run,1590500568,101.00,16.74,set5
sort_run,1590500569,100.00,16.74,set5
sort_run,1590500570,100.00,16.74,set5
sort_run,1590500571,100.00,16.74,set5
sort_run,1590500572,100.00,16.74,set5
sort_run,1590500573,100.00,16.74,set5
sort_run,1590500574,101.00,16.74,set5
sort_run,1590500575,100.00,16.74,set5
sort_run,1590500576,100.00,16.74,set5
sort_run,1590500577,100.00,16.74,set5
sort_run,1590500578,101.00,16.74,set5
sort_run,1590500579,100.00,16.74,set5
sort_run,1590500580,100.00,16.74,set5
sort_run,1590500581,100.00,16.74,set5
sort_run,1590500582,101.00,16.74,set5
sort_run,1590500583,100.00,16.74,set5
sort_run,1590500587,100.00,16.74,set5
sort_run,1590500588,66.75,16.74,set5
sort_run,1590500589,0.00,16.74,set5
sort_run,1590500590,0.00,16.74,set5
sort_run,1590500591,0.00,16.74,set5
sort_run,1590500592,0.00,16.74,set5
sort_run,1590500593,2.00,16.74,set5
sort_run,1590500594,238.00,16.82,set5
sort_run,1590500595,0.00,16.82,set5
sort_run,1590500596,0.00,16.80,set5
sort_run,1590500597,1.00,16.80,set5
sort_run,1590500598,0.00,16.80,set5
sort_run,1590500599,0.00,16.80,set5
sort_run,1590500600,0.00,16.80,set5
sort_run,1590500601,0.00,16.80,set5
sort_run,1590500602,0.00,16.80,set5
sort_run,1590500603,1.00,16.80,set5
sort_run,1590500604,150.00,16.80,set5
sort_run,1590500605,118.00,16.80,set5
sort_run,1590500606,1.00,16.80,set5
sort_run,1590500607,1.00,16.80,set5
sort_run,1590500608,0.00,16.80,set5
sort_run,1590500609,0.00,16.80,set5
sort_run,1590500610,0.00,16.80,set5
sort_run,1590500611,1.00,16.80,set5
sort_run,1590500612,0.00,16.80,set5
sort_run,1590500613,0.00,16.80,set5
sort_run,1590500614,29.00,16.80,set5
sort_run,1590500615,172.00,16.80,set5
sort_run,1590500616,35.00,16.80,set5
sort_run,1590500617,0.00,16.80,set5
sort_run,1590500618,91.00,16.80,set5
sort_run,1590500619,244.00,16.81,set5
sort_run,1590500620,140.00,16.81,set5
sort_run,1590500621,119.00,16.81,set5
sort_run,1590500622,139.00,16.81,set5
sort_run,1590500623,138.00,16.81,set5
sort_run,1590500624,147.00,16.81,set5
sort_run,1590500625,142.57,16.81,set5
sort_run,1590500626,122.00,16.81,set5
