Workload,CPU,Mem,Set
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.83,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.70,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,2.00,0.44,set5
sort_run,2.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,2.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,5.00,0.44,set5
sort_run,2.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,2.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,2.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,2.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,3.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,2.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,3.00,0.44,set5
sort_run,2.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,2.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,1.00,0.44,set5
sort_run,0.00,0.44,set5
sort_run,0.00,0.44,set5
